timestamp,open,high,low,close,volume
2022-09-27,122.6000,123.9500,121.0800,121.7400,4117215
2022-09-26,122.3000,124.2600,121.7500,122.0100,3987817
2022-09-23,124.5300,125.0000,121.7400,122.7100,5195693
2022-09-22,124.7600,126.5100,124.4100,125.3100,4038335
2022-09-21,126.8900,127.8400,124.9200,124.9300,3389545
2022-09-20,126.9000,126.9900,125.5200,126.3000,2837485
2022-09-19,126.4900,128.0600,126.2800,127.7300,3981606
2022-09-16,124.3600,127.5300,123.8300,127.2700,9839696
2022-09-15,127.3900,127.4650,124.9000,125.4900,5141671
2022-09-14,127.5000,129.0000,126.8450,127.6900,3819067
2022-09-13,129.1400,129.9090,126.7709,127.2500,4565585
2022-09-12,130.3300,130.9900,129.8900,130.6600,3741168
2022-09-09,128.9000,129.4900,128.0600,129.1900,3293365
2022-09-08,127.2000,128.5400,126.5900,128.4700,2964613
2022-09-07,126.6900,127.8667,126.2800,127.7100,2401513
2022-09-06,127.8000,128.0600,126.3000,126.7200,3345343
2022-09-02,130.3000,130.5600,127.2400,127.7900,3040813
2022-09-01,128.4000,129.8173,127.7400,129.6600,3396219
2022-08-31,129.9200,130.0000,128.4000,128.4500,3490380
2022-08-30,130.5600,130.7700,129.2900,129.5800,2407888
2022-08-29,129.9900,131.4200,129.5700,130.3100,2751308
2022-08-26,134.1000,134.1800,130.3400,130.3800,4185254
2022-08-25,133.6500,134.4250,133.0700,133.9800,2706005
2022-08-24,134.8900,135.1100,133.1100,133.2300,2855421
2022-08-23,135.3700,136.1000,134.7200,134.7400,4141798
2022-08-22,137.6500,137.8500,135.4700,135.5500,3093629
2022-08-19,138.7500,139.3400,137.6600,138.3700,3155842
2022-08-18,137.7900,139.1200,137.7500,139.0700,3177726
2022-08-17,136.4600,138.4150,136.3000,137.7900,3667568
2022-08-16,134.6000,137.3700,134.4517,136.5600,4313600
2022-08-15,132.9600,135.1900,132.2400,134.9300,2791241
2022-08-12,132.6200,134.0900,131.9800,134.0100,2767054
2022-08-11,132.3600,133.2250,132.0000,132.5400,3501925
2022-08-10,130.7500,131.7800,130.3400,131.5000,3663995
